Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-11-17;63,00;7,00;4,00;1,00;5,00;8,00;3,00;19,00;3,00;6,70;0,00;10,72;91,15;0,00;4,00;20,00;3,00;16,06;4,94;42,00;1,24;0,00;15,00;4,00;0,00;3,00;7,00;0,00;4,00;8,00;4,00;8,00;0,00;13,00;18,00;1,00;0,00;4,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-11-24;54,00;7,00;12,00;8,00;12,00;6,00;7,00;42,00;1,00;5,40;0,00;14,85;82,35;12,00;3,00;10,00;6,00;8,79;0,00;41,44;7,53;0,00;6,00;4,00;0,00;0,00;3,00;0,00;4,00;7,00;6,00;11,00;1,00;11,00;21,00;0,00;3,00;7,00;3,00;4,00;0,00;0,00;0,00;0,00
2019-12-01;76,00;5,00;8,00;1,00;13,00;6,00;5,00;39,00;1,00;2,71;4,07;10,86;77,36;4,00;4,00;23,00;4,00;3,68;2,45;60,06;7,35;0,00;18,00;1,00;1,00;1,00;3,00;1,00;8,00;12,00;13,00;12,00;1,00;12,00;13,00;3,00;3,00;3,00;3,00;0,00;1,00;0,00;0,00;0,00
2019-12-08;67,00;9,00;10,00;4,00;8,00;10,00;16,00;54,00;3,00;4,10;5,47;12,31;82,04;10,00;5,00;22,00;7,00;8,69;1,24;43,43;2,48;0,00;17,00;4,00;0,00;5,00;1,00;0,00;14,00;5,00;8,00;14,00;1,00;9,00;26,00;3,00;3,00;1,00;4,00;1,00;0,00;0,00;0,00;0,00
2019-12-15;91,00;18,00;18,00;4,00;11,00;15,00;0,00;18,00;4,00;5,43;1,36;24,45;80,13;5,00;8,00;16,00;12,00;17,45;1,25;48,62;4,99;0,00;26,00;5,00;0,00;4,00;4,00;1,00;8,00;9,00;18,00;7,00;3,00;11,00;16,00;3,00;1,00;4,00;8,00;1,00;3,00;0,00;0,00;0,00
2019-12-22;100,00;17,00;41,00;12,00;14,00;17,00;8,00;55,00;8,00;2,74;0,00;15,07;113,70;6,00;29,00;15,00;17,00;16,25;1,25;51,25;7,50;0,00;23,00;5,00;0,00;0,00;5,00;0,00;11,00;11,00;12,00;15,00;5,00;6,00;29,00;3,00;2,00;3,00;14,00;5,00;0,00;0,00;5,00;0,00
2019-12-29;93,00;6,00;8,00;7,00;10,00;8,00;6,00;45,00;1,00;6,84;2,74;21,88;116,25;3,00;0,00;14,00;4,00;9,92;1,24;53,32;6,20;0,00;28,00;3,00;0,00;3,00;3,00;0,00;8,00;10,00;14,00;10,00;3,00;8,00;14,00;0,00;0,00;4,00;10,00;3,00;0,00;0,00;0,00;0,00
2020-01-05;91,00;23,00;13,00;5,00;21,00;13,00;12,00;38,00;6,00;4,07;2,72;33,96;99,15;5,00;4,00;30,00;10,00;16,21;0,00;58,59;8,73;0,00;10,00;4,00;1,00;4,00;5,00;0,00;14,00;9,00;19,00;6,00;1,00;12,00;22,00;4,00;1,00;4,00;3,00;6,00;0,00;0,00;0,00;1,00
2020-01-12;91,00;14,00;18,00;7,00;16,00;11,00;6,00;44,00;1,00;6,79;2,72;29,88;135,82;10,00;1,00;17,00;14,00;16,21;1,25;72,30;8,73;0,00;22,00;4,00;0,00;2,00;7,00;1,00;17,00;11,00;11,00;15,00;0,00;12,00;22,00;0,00;2,00;11,00;6,00;5,00;2,00;0,00;1,00;0,00
2020-01-19;91,00;17,00;15,00;10,00;15,00;18,00;14,00;64,00;3,00;14,94;8,15;25,81;135,82;9,00;18,00;23,00;5,00;22,14;4,92;78,70;6,15;0,00;14,00;3,00;4,00;5,00;12,00;5,00;9,00;8,00;6,00;12,00;3,00;18,00;21,00;3,00;1,00;13,00;5,00;5,00;3,00;3,00;0,00;0,00
2020-01-26;66,00;13,00;18,00;5,00;24,00;9,00;3,00;58,00;3,00;4,13;0,00;24,75;115,50;0,00;6,00;10,00;10,00;9,96;1,25;49,81;3,74;0,00;15,00;4,00;1,00;1,00;1,00;0,00;10,00;6,00;11,00;19,00;1,00;10,00;25,00;3,00;0,00;1,00;4,00;3,00;0,00;0,00;1,00;1,00
2020-02-02;96,00;6,00;8,00;6,00;17,00;13,00;5,00;45,00;6,00;9,46;2,70;27,04;112,23;10,00;9,00;10,00;6,00;13,71;3,74;42,39;4,99;0,00;8,00;3,00;1,00;1,00;6,00;0,00;15,00;12,00;5,00;9,00;3,00;5,00;26,00;0,00;1,00;4,00;3,00;8,00;0,00;0,00;1,00;1,00
2020-02-09;91,00;8,00;18,00;9,00;11,00;13,00;8,00;43,00;1,00;4,07;4,07;21,73;110,01;1,00;8,00;20,00;13,00;16,21;2,49;58,59;7,48;1,00;14,00;8,00;0,00;4,00;4,00;1,00;9,00;11,00;13,00;14,00;3,00;5,00;23,00;1,00;1,00;4,00;4,00;5,00;1,00;0,00;1,00;0,00
2020-02-16;93,00;19,00;15,00;5,00;19,00;11,00;11,00;41,00;6,00;6,84;1,37;19,15;112,15;8,00;9,00;28,00;8,00;12,40;2,48;45,88;9,92;1,00;10,00;1,00;3,00;1,00;6,00;0,00;11,00;10,00;18,00;10,00;1,00;15,00;28,00;4,00;1,00;4,00;4,00;6,00;3,00;0,00;1,00;0,00
2020-02-23;94,00;9,00;10,00;8,00;22,00;10,00;5,00;43,00;5,00;12,26;1,36;21,80;95,36;10,00;10,00;17,00;10,00;12,53;7,52;45,12;11,28;0,00;8,00;6,00;1,00;0,00;2,00;0,00;15,00;10,00;10,00;13,00;1,00;15,00;23,00;0,00;0,00;2,00;4,00;5,00;1,00;2,00;0,00;0,00
2020-03-01;77,00;15,00;12,00;10,00;17,00;14,00;8,00;49,00;0,00;5,40;5,40;24,32;71,60;12,00;6,00;22,00;11,00;9,94;3,73;52,16;12,42;0,00;18,00;5,00;0,00;1,00;6,00;2,00;14,00;13,00;10,00;8,00;0,00;7,00;23,00;4,00;1,00;4,00;0,00;4,00;0,00;0,00;2,00;0,00
